model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.4290221035480499,0.9671003818511964,1.0722174644470217,1.077686786651611,tensor(0.9697),tensor(0.9676),tensor(0.9693),tensor(0.9671),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.4384858012199402,0.9668982028961182,1.0723601579666138,1.0780880451202393,tensor(0.9695),tensor(0.9671),tensor(0.9688),tensor(0.9669),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.4242902398109436,0.967149257659912,1.0722246170043943,1.077638864517212,tensor(0.9697),tensor(0.9676),tensor(0.9693),tensor(0.9671),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.4227129518985748,0.9669233560562134,1.0720233917236328,1.0774431228637695,tensor(0.9696),tensor(0.9676),tensor(0.9693),tensor(0.9669),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,,mult,,,0.3785488903522491,0.968841314315796,1.074453353881836,1.081647276878357,tensor(0.9701),tensor(0.9684),tensor(0.9699),tensor(0.9688),0,512,50,1e-07,mem
4_layer_6000_epoch.pth,random,mult,,,0.4337539374828338,0.9669329524040222,1.072130799293518,1.077705144882202,tensor(0.9694),tensor(0.9672),tensor(0.9690),tensor(0.9669),0,512,50,1e-07,mem
