model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,num_grad,block_size,lambd,unlearn_set
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.9711624383926392,1.0842533111572266,1.1642167568206787,tensor(0.9698),tensor(0.9676),tensor(0.9696),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0015772870974615,0.9711639881134032,1.0848151445388794,1.1680306196212769,tensor(0.9698),tensor(0.9675),tensor(0.9696),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.9705755710601808,1.120869517326355,1.241946816444397,tensor(0.9698),tensor(0.9659),tensor(0.9690),tensor(0.9706),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.9650787115097046,1.6204625368118286,1.8333488702774048,tensor(0.9685),tensor(0.9558),tensor(0.9654),tensor(0.9651),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.9057937264442444,26.75804328918457,29.7476806640625,tensor(0.9492),tensor(0.8264),tensor(0.9166),tensor(0.9058),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.361731469631195,157280.203125,166341.015625,tensor(0.4880),tensor(0.3451),tensor(0.3912),tensor(0.3617),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.0602690801024436,56385634304.0,59388555264.0,tensor(0.0484),tensor(0.0580),tensor(0.0470),tensor(0.0603),0,512,50,1e-07,noise
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,512,50,1e-07,noise
4_layer_100_epoch.pth,random,mult,,,0.0,0.0573348589241504,11834214055936.0,12548348837888.0,tensor(0.0438),tensor(0.0558),tensor(0.0434),tensor(0.0573),0,512,50,1e-07,noise
