step,perplexity,perc_mem
11000,29.254901960784313,0.18415841460227966
22000,26.50980392156863,0.2574257552623749
33000,25.45098039215686,0.27326732873916626
44000,24.764705882352942,0.3386138677597046
55000,24.137254901960784,0.33663368225097656
66000,23.686274509803923,0.3782178461551666
77000,23.352941176470587,0.41386139392852783
88000,22.941176470588236,0.44158416986465454
99000,22.58823529411765,0.43564358353614807
110000,22.274509803921568,0.500990092754364
121000,22.07843137254902,0.5029703378677368
132000,22.03921568627451,0.5069307088851929
143000,21.980392156862745,0.5346534848213196
