,avg_acc,avg_acc_perc_diff,localization_method,ratio,data_name,backdoor,avg_perc_mem,avg_perc_mem_perc_diff,wiki_perp,wiki_perp_perc_diff,duplicate,n_layers,epoch,seed,num_3,epochs,loss_weighting
2079,,,greedy,0.1,wiki_fast,1.0,99.48718547821044,-0.512814521789565,156.1556854248047,79.04133165439023,1.0,2.0,50,0.0,20000.0,5.0,0.05
2080,,,durable,0.001,wiki_fast,1.0,100.0,0.0,87.18165588378906,-0.04129710163626972,1.0,2.0,50,0.0,20000.0,5.0,0.05
2081,,,durable_agg,0.001,wiki_fast,1.0,100.0,0.0,87.27627563476562,0.06718979827752335,1.0,2.0,50,0.0,20000.0,5.0,0.05
2082,,,obs,0.001,wiki_fast,1.0,100.0,0.0,87.18930053710938,-0.032532073921899406,1.0,2.0,50,0.0,20000.0,5.0,0.05
2083,,,random,25.0,wiki_fast,1.0,97.94871807098387,-2.0512819290161275,2756.76953125,3060.792299022157,1.0,2.0,50,0.0,20000.0,1.0,0.05
2084,,,random_greedy,5.0,wiki_fast,1.0,0.5128205288201501,-99.48717947117984,87.58316802978516,0.41905929908645145,1.0,2.0,50,0.0,20000.0,10.0,0.5
2085,,,hc,0.1,wiki_fast,1.0,100.0,0.0,87.12284851074219,-0.10872308329531802,1.0,2.0,50,0.0,20000.0,10.0,0.05
2086,,,slim,0.1,wiki_fast,1.0,100.0,0.0,87.18165588378906,-0.04129710163626972,1.0,2.0,50,0.0,20000.0,1.0,0.05
2087,,,zero,0.1,wiki_fast,1.0,100.0,0.0,87.20747375488281,-0.011695451151809493,1.0,2.0,50,0.0,20000.0,5.0,0.05
2088,,,act,0.1,wiki_fast,1.0,100.0,0.0,87.18165588378906,-0.04129710163626972,1.0,2.0,50,0.0,20000.0,5.0,0.05
2089,,,ig,5.0,wiki_fast,1.0,56.41025900840759,-43.58974099159241,135.80508422851562,55.70821555145102,1.0,2.0,50,0.0,20000.0,5.0,0.05
2091,,,greedy,1.0,wiki_fast,1.0,77.43589878082275,-22.564101219177246,298.2406311035156,303.27763828310236,1.0,4.0,10,0.0,20000.0,5.0,0.05
