,perc_mem_0,acc2,acc3,acc4,acc5,acc7,localization_method,ratio,avg_acc,avg_perc_mem,results_path,model_path,num_grads,batch_size,block_size,lambd,loss_weighting,max_ctx,n_embed,num_7,num_2,num_3,num_4,num_5,num_noise,num_test,length,seed,n_layers,ig_steps,epochs,lambda_l1,stop_loss,lr,momentum,weight_decay,backdoor,data_name,unlearn_set_name,duplicate,vocab_size,perp7,perp2,perp3,perp4,perp5,perc_not_mem_correct_out_0,perp_noise_0,perp_clean_0,total_time,perc_mem_diff,acc2_diff,acc3_diff,acc4_diff,acc5_diff,acc7_diff,score,epoch,avg_perc_mem_perc_diff,avg_acc_perc_diff,wiki_perp,wiki_acc,perc_mem_diff_0,wiki_perp_diff,wiki_perp_perc_diff,perc_mem_1,perc_mem_2,perc_mem_3,perc_not_mem_correct_out_1,perc_not_mem_correct_out_2,perc_not_mem_correct_out_3,perp_noise_1,perp_noise_2,perp_noise_3,perp_clean_1,perp_clean_2,perp_clean_3,perc_mem_diff_1,perc_mem_diff_2,perc_mem_diff_3
10,0.039800994098186465,0.9267796675364176,0.9267468452453613,0.9290058612823486,0.9310857653617859,0.9510242938995361,act,5.0,93.29284866650897,3.9800994098186466,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_50.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_50_epoch.pth,512.0,512.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,5.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.2192124128341677,1.2780303955078125,1.267524480819702,1.273340940475464,1.2672898769378662,0.0,8.218657493591309,1.399010181427002,,-0.9585290785688465,-0.046281558335601825,-0.04625736129210938,-0.04461553323724134,-0.04238623377877568,-0.02440862698084812,-0.9177392158439313,50,-95.85290785688466,-4.078015247819098,,,,,,,,,,,,,,,,,,,,
11,0.0,0.897010882695516,0.89717036485672,0.8961260120073954,0.8960408369700114,0.9185270071029663,ig,5.0,90.09750207265216,0.0,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_50.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_50_epoch.pth,512.0,32.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,5.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.8148093223571773,1.6069740056991575,1.6483042240142822,1.7548885345458984,1.800214409828186,0.0,36.43080139160156,1.9030768871307373,,-1.0,-0.07691563467887878,-0.07669539363532893,-0.07842898757156647,-0.07842964364785507,-0.057745391192480185,-0.9263569898547781,50,-100.0,-7.363411627444255,,,,,,,,,,,,,,,,,,,,
12,0.9850746194521586,0.9714852174123129,0.9720029433568319,0.9722563425699869,0.9720269441604614,0.9748293558756509,base_stats,0.1,97.25201606750488,98.50746194521585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,0.0,0.0,,,,,,,,,,,,,,,,,,,,
13,0.7907018264134725,0.9588773449261984,0.9491402506828308,0.9619293808937073,0.960448165734609,0.973690946896871,greedy,5.0,96.08172178268433,79.07018264134726,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,512.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,5.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.1152809858322144,1.189995288848877,1.2249643802642822,1.184924602508545,1.1805226802825928,0.0,1.110780119895935,1.2787092924118042,251.6353956858317,-0.19731783684243628,-0.012977935495197074,-0.023521217533605733,-0.010621644955261673,-0.011911993279006272,-0.0011678033410856177,-0.18527771792160502,200,-19.73178368424362,-1.2033624927715927,,,,,,,,,,,,,,,,,,,,
14,0.43967661758263904,0.9667073885599772,0.9672316710154215,0.9679088393847147,0.9667795101801554,0.9662650028864542,durable,5.0,96.69784824053446,43.9676617582639,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,512.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,5.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.0799829959869385,1.0903806686401367,1.087904930114746,1.0886003971099854,1.0896743535995483,0.109375,1.0831135511398315,1.2909042835235596,0.20614727338155106,-0.5536616121252198,-0.004918066447847867,-0.004908701536368508,-0.004471560631613227,-0.005398444983269707,-0.008785489416764275,-0.547965159522047,200,-55.36616121252198,-0.5698265695446015,,,,,,,,,,,,,,,,,,,,
15,0.4689008990923564,0.9691979289054871,0.969586710135142,0.9697768290837606,0.9687609672546388,0.9706353942553202,durable_agg,5.0,96.95915659268698,46.89008990923564,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,512.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,5.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.0792442560195925,1.0875991582870483,1.08674156665802,1.0871448516845703,1.0886987447738647,0.125,1.085700750350952,1.2999744415283203,0.22146010398864743,-0.5239945382481462,-0.0023544244069079257,-0.002485829120378405,-0.0025502672265137116,-0.00335996540573622,-0.004302252076275882,-0.5209839906009838,200,-52.399453824814614,-0.3011346053891795,,,,,,,,,,,,,,,,,,,,
16,0.6254755655924479,0.9639786084493002,0.9646099805831909,0.9640069603919983,0.9667291442553202,0.957571009794871,obs,5.0,96.3379140694936,62.54755655924479,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,512.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,5.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.2163788080215454,1.118039608001709,1.127491116523743,1.1273740530014038,1.1163132190704346,0.0,1.1749389171600342,1.4448744058609009,104.69162670771281,-0.36504752712002553,-0.007726941005862757,-0.0076059057476814225,-0.008484781036432094,-0.0054502603420288264,-0.01770396631652257,-0.35565315623032,200,-36.50475271200255,-0.9399311551307856,,,,,,,,,,,,,,,,,,,,
17,0.04524253557125727,0.7396314342816671,0.7505156397819519,0.7460631529490153,0.7461920579274496,0.6596314311027527,random,30.0,72.84067432085673,4.524253557125727,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,32.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,20.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.695735216140747,1.2695742845535278,1.228980541229248,1.2338879108428955,1.2674221992492676,0.0,1.7419012784957886,2.043264150619507,0.35055263837178546,-0.954071971119895,-0.23865909534704072,-0.22786690625644518,-0.23264768736100006,-0.23233397756074053,-0.32333651307594063,-0.7031031351996615,200,-95.40719711198948,-25.101116391976564,,,,,,,,,,,,,,,,,,,,
18,0.0,0.9716993371645609,0.9723655382792155,0.9726058840751648,0.9722934365272522,0.9745105703671774,random_greedy,10.0,97.26949532826741,0.0,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,32.0,50.0,1e-07,0.5,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,10.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.0723942518234253,1.077475905418396,1.0776464939117432,1.077942967414856,1.0774117708206177,0.359375,6.914214611053467,1.308552384376526,30.195265293121338,-1.0,0.000220404539781256,0.00037303891398859695,0.00035951578804197036,0.0002741615017893775,-0.0003270167302124141,-1.0001800208026776,200,-100.0,0.017973160320291,,,,,,,,,,,,,,,,,,,,
19,0.4822303851445516,0.9547329545021057,0.9557794332504272,0.9562185804049174,0.9572584629058838,0.9668950041135153,hc,5.0,95.81768870353699,48.223038514455155,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer_edit/localization_results_200.csv,/eagle/projects/argonne_tpc/mansisak/memorization/model_ckpts/backdoor/not_dup/increment/20000_3000_20_150_0_128_0.001/two_layer/2_layer_200_epoch.pth,512.0,32.0,50.0,1e-07,0.05,150.0,128.0,20000.0,3000.0,3000.0,3000.0,3000.0,1000.0,1000.0,20.0,0.0,2.0,20.0,20.0,1000.0,0.1,0.1,0.9,0.0005,1.0,increment,mem,0.0,14.0,1.080291509628296,1.103654384613037,1.102882981300354,1.1033902168273926,1.0999257564544678,0.0,1.1184748411178589,1.3516387939453125,,-0.5104630901842337,-0.017243970994050895,-0.016690803476763598,-0.016495405031430915,-0.015193489587197767,-0.008139221202472428,-0.4957105121258506,200,-51.04630901842338,-1.4748561746753872,,,,,,,,,,,,,,,,,,,,
