,avg_acc,localization_method,ratio,data_name,backdoor,avg_perc_mem,wiki_perp,duplicate,n_layers,epoch
1746,,durable,0.1,wiki_fast,0.0,0.0,52.90426025390625,1.0,8.0,40
1747,,durable_agg,0.001,wiki_fast,0.0,0.0,52.01040445963542,1.0,8.0,40
1748,,hc,1.0,wiki_fast,0.0,0.0,55.47988688151042,1.0,8.0,40
1749,,slim,1.0,wiki_fast,0.0,0.0,52.1974365234375,1.0,8.0,40
1750,,zero,1.0,wiki_fast,0.0,0.0,52.36099446614583,1.0,8.0,40
1751,,act,1.0,wiki_fast,0.0,0.0,54.52744954427083,1.0,8.0,40
1753,,durable,0.1,wiki_fast,0.0,0.0,51.85040690104167,1.0,8.0,70
1754,,durable_agg,0.001,wiki_fast,0.0,0.0,50.82509358723959,1.0,8.0,70
1755,,hc,1.0,wiki_fast,0.0,0.0,58.08895670572917,1.0,8.0,70
1756,,slim,1.0,wiki_fast,0.0,0.0,51.92135416666667,1.0,8.0,70
1757,,zero,1.0,wiki_fast,0.0,0.0,52.053853352864586,1.0,8.0,70
1758,,act,1.0,wiki_fast,0.0,0.0,53.06332194010417,1.0,8.0,70
1760,,durable,0.1,wiki_fast,0.0,0.0,51.497021484375,1.0,8.0,100
1761,,durable_agg,0.01,wiki_fast,0.0,0.0,51.8687255859375,1.0,8.0,100
1762,,hc,1.0,wiki_fast,0.0,0.0,55.961726888020834,1.0,8.0,100
1763,,slim,1.0,wiki_fast,0.0,0.0,51.64619140625,1.0,8.0,100
1764,,zero,1.0,wiki_fast,0.0,0.0,52.36572265625,1.0,8.0,100
1765,,act,1.0,wiki_fast,0.0,0.0,51.13992513020833,1.0,8.0,100
1767,,durable,0.01,wiki_fast,0.0,21.352015442401832,47.9529296875,1.0,16.0,10
1768,,hc,5.0,wiki_fast,0.0,1.080108020189748,56.852587890625,1.0,16.0,10
1769,,slim,1.0,wiki_fast,0.0,0.7200720414023042,49.85059407552083,1.0,16.0,10
1770,,zero,5.0,wiki_fast,0.0,3.960396353453798,54.71159261067708,1.0,16.0,10
1771,,act,5.0,wiki_fast,0.0,0.0,52.69279378255208,1.0,16.0,10
1773,,durable,0.001,wiki_fast,0.0,29.561994354216285,45.92547607421875,1.0,16.0,40
1774,,hc,5.0,wiki_fast,0.0,0.0,57.00744222005208,1.0,16.0,40
1775,,slim,1.0,wiki_fast,0.0,0.0,47.80347493489583,1.0,16.0,40
1776,,zero,5.0,wiki_fast,0.0,1.4401440828046084,55.14981282552083,1.0,16.0,40
1777,,act,5.0,wiki_fast,0.0,0.0,53.155126953125,1.0,16.0,40
1779,,durable,0.01,wiki_fast,0.0,21.424311825973717,45.72996419270833,1.0,16.0,70
1780,,hc,1.0,wiki_fast,0.0,2.160216040379496,47.501468912760416,1.0,16.0,70
1781,,slim,1.0,wiki_fast,0.0,0.3600360207011521,48.37804768880208,1.0,16.0,70
1782,,zero,5.0,wiki_fast,0.0,3.240324228224077,54.1828369140625,1.0,16.0,70
1783,,act,5.0,wiki_fast,0.0,0.0,55.062418619791664,1.0,16.0,70
1785,,durable,0.01,wiki_fast,0.0,19.011058107782976,45.88682861328125,1.0,16.0,100
1786,,hc,5.0,wiki_fast,0.0,0.3600360207011521,52.02787679036458,1.0,16.0,100
1787,,slim,1.0,wiki_fast,0.0,0.0,47.48334554036458,1.0,16.0,100
1788,,zero,5.0,wiki_fast,0.0,6.840684519063016,52.25634765625,1.0,16.0,100
1789,,act,5.0,wiki_fast,0.0,0.0,52.36571451822917,1.0,16.0,100
3251,,durable,0.1,wiki_fast,0.0,0.0,72.21898600260417,1.0,2.0,10
3252,,durable_agg,0.1,wiki_fast,0.0,0.0,76.59192708333333,1.0,2.0,10
3253,,random,0.001,wiki_fast,0.0,12.061206068974368,71.3217529296875,1.0,2.0,10
3254,,hc,1.0,wiki_fast,0.0,0.0,73.17425944010417,1.0,2.0,10
3255,,slim,1.0,wiki_fast,0.0,0.0,72.14200032552084,1.0,2.0,10
3256,,zero,5.0,wiki_fast,0.0,0.0,71.87887369791666,1.0,2.0,10
3257,,act,1.0,wiki_fast,0.0,0.0,73.06778157552084,1.0,2.0,10
3259,,durable,0.1,wiki_fast,0.0,0.0,69.14573567708334,1.0,2.0,40
3260,,durable_agg,0.1,wiki_fast,0.0,0.0,73.99361165364583,1.0,2.0,40
3261,,random,0.001,wiki_fast,0.0,5.436543870673689,67.42832438151042,1.0,2.0,40
3262,,hc,1.0,wiki_fast,0.0,0.0,68.45340169270834,1.0,2.0,40
3263,,slim,1.0,wiki_fast,0.0,0.0,75.84016927083333,1.0,2.0,40
3264,,zero,1.0,wiki_fast,0.0,0.0,67.20755208333334,1.0,2.0,40
3265,,act,1.0,wiki_fast,0.0,0.0,69.65601399739583,1.0,2.0,40
3267,,durable,0.1,wiki_fast,0.0,0.0,67.0664794921875,1.0,2.0,70
3268,,durable_agg,0.1,wiki_fast,0.0,0.0,73.63232421875,1.0,2.0,70
3269,,random,0.001,wiki_fast,0.0,7.560756644292736,66.28601888020833,1.0,2.0,70
3270,,hc,1.0,wiki_fast,0.0,0.0,67.12879638671875,1.0,2.0,70
3271,,slim,5.0,wiki_fast,0.0,0.0,73.9570556640625,1.0,2.0,70
3272,,zero,1.0,wiki_fast,0.0,0.0,66.01069742838541,1.0,2.0,70
3273,,act,1.0,wiki_fast,0.0,0.0,68.28974609375,1.0,2.0,70
3275,,durable,0.1,wiki_fast,0.0,0.0,66.42000732421874,1.0,2.0,100
3276,,durable_agg,0.1,wiki_fast,0.0,0.0,73.53451334635416,1.0,2.0,100
3277,,random,0.001,wiki_fast,0.0,7.9567963089777125,66.07811279296875,1.0,2.0,100
3278,,hc,1.0,wiki_fast,0.0,0.0,72.6457275390625,1.0,2.0,100
3279,,slim,1.0,wiki_fast,0.0,0.0,68.832568359375,1.0,2.0,100
3280,,zero,1.0,wiki_fast,0.0,0.0,65.83308919270833,1.0,2.0,100
3281,,act,1.0,wiki_fast,0.0,0.0,68.24752604166666,1.0,2.0,100
3283,,durable,0.1,wiki_fast,0.0,0.0,64.24987386067708,1.0,4.0,10
3284,,durable_agg,0.01,wiki_fast,0.0,0.0,69.775830078125,1.0,4.0,10
3285,,random,0.001,wiki_fast,0.0,13.10531132117678,61.63343505859375,1.0,4.0,10
3286,,hc,1.0,wiki_fast,0.0,0.0,65.75545247395833,1.0,4.0,10
3287,,slim,1.0,wiki_fast,0.0,0.0,63.225764973958334,1.0,4.0,10
3288,,zero,1.0,wiki_fast,0.0,0.0,61.97561848958333,1.0,4.0,10
3289,,act,1.0,wiki_fast,0.0,0.0,64.74310709635417,1.0,4.0,10
3291,,durable,0.1,wiki_fast,0.0,0.0,59.70609130859375,1.0,4.0,40
3292,,durable_agg,0.1,wiki_fast,0.0,0.0,68.28397623697917,1.0,4.0,40
3293,,random,0.001,wiki_fast,0.0,10.765076897414703,57.95635986328125,1.0,4.0,40
3294,,hc,1.0,wiki_fast,0.0,0.0,65.47703043619792,1.0,4.0,40
3295,,slim,1.0,wiki_fast,0.0,0.0,59.310201009114586,1.0,4.0,40
3296,,zero,1.0,wiki_fast,0.0,0.0,58.2553955078125,1.0,4.0,40
3297,,act,1.0,wiki_fast,0.0,0.0,60.76232096354167,1.0,4.0,40
3299,,durable,0.1,wiki_fast,0.0,0.3600360207011521,58.741357421875,1.0,4.0,70
3300,,durable_agg,0.01,wiki_fast,0.0,0.0,57.644185384114586,1.0,4.0,70
3301,,random,0.001,wiki_fast,0.0,12.745274587942603,57.28384602864583,1.0,4.0,70
3302,,hc,1.0,wiki_fast,0.0,0.7200720414023042,63.2104248046875,1.0,4.0,70
3303,,slim,1.0,wiki_fast,0.0,0.0,57.83318277994792,1.0,4.0,70
3304,,zero,1.0,wiki_fast,0.0,0.0,57.55644938151042,1.0,4.0,70
3305,,act,1.0,wiki_fast,0.0,0.0,57.54136555989583,1.0,4.0,70
3307,,durable,0.1,wiki_fast,0.0,0.0,58.33879801432292,1.0,4.0,100
3308,,durable_agg,0.01,wiki_fast,0.0,0.0,60.27038981119792,1.0,4.0,100
3309,,random,0.001,wiki_fast,0.0,9.576957890785673,56.80595296223958,1.0,4.0,100
3310,,hc,5.0,wiki_fast,0.0,0.0,65.4830322265625,1.0,4.0,100
3311,,slim,5.0,wiki_fast,0.0,0.0,62.50336507161458,1.0,4.0,100
3312,,zero,1.0,wiki_fast,0.0,0.0,57.390869140625,1.0,4.0,100
3313,,act,1.0,wiki_fast,0.0,0.0,59.08257649739584,1.0,4.0,100
3315,,durable,0.1,wiki_fast,0.0,1.080108020189748,54.805440266927086,1.0,8.0,10
3316,,durable_agg,0.001,wiki_fast,0.0,0.0,55.34805501302083,1.0,8.0,10
3317,,hc,1.0,wiki_fast,0.0,0.3600360207011521,55.69677734375,1.0,8.0,10
3318,,slim,1.0,wiki_fast,0.0,0.0,54.56895345052083,1.0,8.0,10
3319,,zero,1.0,wiki_fast,0.0,0.0,53.78096923828125,1.0,8.0,10
3320,,act,1.0,wiki_fast,0.0,0.0,56.40873209635416,1.0,8.0,10
3322,,durable,0.1,wiki_fast,0.0,0.3600360207011521,54.13108723958333,1.0,8.0,40
3323,,durable_agg,0.1,wiki_fast,0.0,0.0,83.79515787760417,1.0,8.0,40
3324,,hc,1.0,wiki_fast,0.0,0.0,53.97996012369792,1.0,8.0,40
3325,,slim,1.0,wiki_fast,0.0,0.0,52.1792724609375,1.0,8.0,40
3326,,zero,1.0,wiki_fast,0.0,0.0,54.44709065755208,1.0,8.0,40
3327,,act,1.0,wiki_fast,0.0,0.0,54.5515380859375,1.0,8.0,40
3329,,durable,0.1,wiki_fast,0.0,0.0,54.82906087239584,1.0,8.0,70
3330,,durable_agg,0.001,wiki_fast,0.0,0.3600360207011521,51.3917724609375,1.0,8.0,70
3331,,random,0.001,wiki_fast,0.0,13.64536472771427,50.615946451822914,1.0,8.0,70
3332,,hc,1.0,wiki_fast,0.0,0.0,86.3105712890625,1.0,8.0,70
