,perc,perp,localization_method,ratio,total_time
0,42.17821955680847,22.90196078431373,BASE_STATS,0.1,10.007434606552124
1,5.94059415161609,26.705882352941178,greedy,0.001,36681.92986989021
2,8.91089141368866,28.58823529411765,durable,0.01,6.451955080032349
3,7.12871327996254,30.62745098039216,durable_agg,0.01,560.0312089920044
4,9.900990128517149,28.745098039215687,random,5.0,235.2907853126526
5,9.10891145467758,24.45098039215686,random_greedy,5.0,214.57831001281733
6,8.31683203577995,27.764705882352946,hc,5.0,3.3686490058898926
7,37.02970445156097,23.25490196078432,slim,5.0,2.783564805984497
8,37.02970445156097,23.25490196078432,slim,5.0,25.076684951782227
9,37.02970445156097,23.25490196078432,slim,5.0,49.97925090789795
10,7.52475261688232,26.88235294117647,act,5.0,10.007434606552124
11,56.43564462661743,20.980392156862745,BASE_STATS,0.1,13.04876184463501
12,5.14851510524749,26.764705882352946,greedy,0.001,36533.94279193878
13,9.70297083258628,30.80392156862745,durable,0.01,7.70464301109314
14,6.73267319798469,35.11764705882353,durable_agg,0.01,435.64861702919006
15,8.91089141368866,25.01960784313725,random,1.0,485.5430254936218
16,8.118811994791029,23.37254901960784,random_greedy,5.0,219.60012197494507
17,13.26732784509658,25.92156862745098,hc,5.0,4.357563018798828
18,47.52475321292877,21.431372549019606,slim,5.0,3.67608642578125
19,47.52475321292877,21.431372549019606,slim,5.0,33.38477849960327
20,47.52475321292877,21.431372549019606,slim,5.0,66.36648464202881
21,9.10891145467758,25.47058823529412,act,5.0,13.04876184463501
22,71.88119292259216,19.794117647058822,BASE_STATS,0.1,16.487558364868164
23,4.15841601788997,27.92156862745098,greedy,0.001,36551.63410305977
24,5.34653477370739,38.03921568627451,durable,0.01,8.862090110778809
25,2.77227722108364,52.431372549019606,durable_agg,0.01,446.6639914512634
26,2.77227722108364,30.62745098039216,random,1.0,617.848560333252
27,2.57425755262374,20.431372549019606,random_greedy,0.1,1566.908353805542
28,15.64356535673141,25.90196078431373,hc,5.0,47.2509195804596
29,55.841583013534546,20.33333333333333,slim,5.0,4.575929403305054
30,55.841583013534546,20.33333333333333,slim,5.0,42.54601526260376
31,55.841583013534546,20.33333333333333,slim,5.0,84.58076119422913
32,7.12871327996254,25.03921568627451,act,5.0,16.487558364868164
33,89.3069326877594,19.46078431372549,BASE_STATS,0.1,20.54651188850403
34,1.38613861054182,34.568627450980394,greedy,0.001,36314.37610292435
35,6.138614192605011,33.05882352941177,durable,0.01,10.24764847755432
36,4.55445572733879,38.68627450980392,durable_agg,0.01,438.0425589084625
37,3.16831693053245,29.41176470588235,random,1.0,414.9530918598175
38,6.53465390205383,22.725490196078432,random_greedy,5.0,233.4186062812805
39,13.66336643695831,26.980392156862745,hc,5.0,58.32594871520996
40,58.01980495452881,20.137254901960784,slim,5.0,5.653414249420166
41,58.01980495452881,20.137254901960784,slim,5.0,53.21395778656006
42,58.01980495452881,20.137254901960784,slim,5.0,104.85202622413637
43,7.12871327996254,25.529411764705884,act,5.0,20.54651188850403
44,27.72277295589447,25.15686274509804,BASE_STATS,0.1,4.345151662826538
45,6.73267319798469,29.11764705882353,greedy,0.001,7554.99259352684
46,0.5940594244748301,97.72549019607844,durable,0.1,3.163773536682129
47,5.94059415161609,36.62745098039216,durable_agg,0.01,206.9618682861328
48,9.30693075060844,28.686274509803923,random,5.0,69.15624070167542
49,7.326732575893399,26.41176470588235,random_greedy,0.1,1118.0585322380066
50,6.336633861064909,31.01960784313725,hc,5.0,1.434161901473999
51,24.9504953622818,25.725490196078432,slim,5.0,1.6398160457611084
52,24.9504953622818,25.725490196078432,slim,5.0,9.22866177558899
53,24.9504953622818,25.725490196078432,slim,5.0,18.621565341949463
54,6.138614192605011,31.45098039215686,act,5.0,4.345151662826538
55,37.22772300243377,23.50980392156863,BASE_STATS,0.1,5.46658182144165
56,5.14851510524749,30.137254901960784,greedy,0.001,7634.340022563934
57,7.52475261688232,33.411764705882355,durable,0.01,3.573657274246216
58,3.76237630844116,45.76470588235294,durable_agg,0.01,238.47978162765503
59,7.52475261688232,32.92156862745098,random,10.0,35.15753436088562
60,6.336633861064909,26.37254901960784,random_greedy,0.1,1139.2404828071594
61,4.75247539579868,33.84313725490196,hc,5.0,1.6581497192382812
62,26.53465569019317,24.137254901960784,slim,5.0,1.9225647449493408
63,26.53465569019317,24.137254901960784,slim,5.0,12.177043199539185
64,26.53465569019317,24.137254901960784,slim,5.0,24.07785677909851
65,7.12871327996254,29.294117647058822,act,5.0,5.46658182144165
66,48.11881482601166,22.33333333333333,BASE_STATS,0.1,6.889187812805176
67,4.95049506425857,31.294117647058822,greedy,0.001,7629.929848909378
68,6.53465390205383,36.549019607843135,durable,0.01,4.419891357421875
69,4.15841601788997,50.70588235294117,durable_agg,0.01,166.99669337272644
70,5.7425744831562,39.3921568627451,random,10.0,36.595749855041504
71,2.77227722108364,24.862745098039216,random_greedy,0.1,604.8213262557983
72,2.37623769789934,42.8235294117647,hc,5.0,2.10014271736145
73,29.702970385551453,23.37254901960784,slim,5.0,2.227431297302246
74,29.702970385551453,23.37254901960784,slim,5.0,15.885572910308838
75,29.702970385551453,23.37254901960784,slim,5.0,30.88810563087464
76,15.841585397720332,24.215686274509803,act,1.0,6.889187812805176
77,53.46534848213196,21.980392156862745,BASE_STATS,1.0,2.4842891693115234
78,4.35643568634986,32.35294117647059,greedy,0.001,7545.783458471298
79,6.9306932389736104,35.490196078431374,durable,0.01,4.504877090454102
80,4.95049506425857,48.0,durable_agg,0.01,231.4293804168701
81,9.900990128517149,30.07843137254902,random,0.1,172.53571963310242
