,perc_mem,seed,epoch,data_type,n_layer,data_size,task_type,train_loss,avg_test_acc
0,9.375,0,0,increment,2,3000,backdoor,0.7477230545468805,0.8570153117179871
1,96.875,0,50,increment,2,3000,backdoor,0.06998211837492847,0.9725522994995117
2,98.4375,0,100,increment,2,3000,backdoor,0.06980584953774772,0.9729873538017273
3,100.0,0,150,increment,2,3000,backdoor,0.06969387875207793,0.9728101491928101
4,100.0,0,200,increment,2,3000,backdoor,0.06971263645384548,0.972621738910675
5,100.0,0,250,increment,2,3000,backdoor,0.06967534562705252,0.9726686477661133
6,100.0,0,300,increment,2,3000,backdoor,0.06959302140779405,0.9724920392036438
7,100.0,0,350,increment,2,3000,backdoor,0.06959497632008593,0.972395122051239
8,100.0,0,400,increment,2,3000,backdoor,0.06948359063451325,0.9722865223884583
9,98.4375,0,450,increment,2,3000,backdoor,0.06941978873517277,0.9724138975143433
10,98.4375,0,500,increment,2,3000,backdoor,0.06935635636344341,0.9723595380783081
11,0.0,1,0,increment,2,3000,backdoor,0.6379495717902884,0.8826346397399902
12,100.0,1,50,increment,2,3000,backdoor,0.07004520544226135,0.9725692868232727
13,98.52941036224365,1,100,increment,2,3000,backdoor,0.06984282313223698,0.9728949666023254
14,98.52941036224365,1,150,increment,2,3000,backdoor,0.06977704817084905,0.9729025959968567
15,100.0,1,200,increment,2,3000,backdoor,0.06972605992832455,0.9724479913711548
16,98.52941036224365,1,250,increment,2,3000,backdoor,0.06974028499346774,0.9727160334587097
17,98.52941036224365,1,300,increment,2,3000,backdoor,0.06970890890365529,0.9726043939590454
18,97.05882668495178,1,350,increment,2,3000,backdoor,0.06968182583132061,0.9727413058280945
19,100.0,1,400,increment,2,3000,backdoor,0.0696118163977754,0.9728662371635437
20,97.05882668495178,1,450,increment,2,3000,backdoor,0.06960786444739708,0.9723964929580688
21,97.05882668495178,1,500,increment,2,3000,backdoor,0.06959682533526308,0.9723833203315735
22,0.0,3,0,increment,2,3000,backdoor,0.7087991828743315,0.8814448118209839
23,91.04477167129517,3,50,increment,2,3000,backdoor,0.0700399634468047,0.9725955724716187
24,92.53731369972229,3,100,increment,2,3000,backdoor,0.06983106961182509,0.9729235768318176
25,80.59701323509216,3,150,increment,2,3000,backdoor,0.06974895238452614,0.9727835655212402
26,95.52238583564758,3,200,increment,2,3000,backdoor,0.06971155965073979,0.9724589586257935
27,89.55223560333252,3,250,increment,2,3000,backdoor,0.06963509716693823,0.9726028442382812
28,95.52238583564758,3,300,increment,2,3000,backdoor,0.06962451610661231,0.9724498987197876
29,80.59701323509216,3,350,increment,2,3000,backdoor,0.06958985113278385,0.97234708070755
30,92.53731369972229,3,400,increment,2,3000,backdoor,0.06951130682964461,0.9722667932510376
31,77.61194109916687,3,450,increment,2,3000,backdoor,0.06947165769988327,0.9723847508430481
32,91.04477167129517,3,500,increment,2,3000,backdoor,0.06938553972266862,0.9721114039421082
33,0.0,0,0,increment,4,3000,backdoor,0.768476055202326,0.8690242767333984
34,100.0,0,50,increment,4,3000,backdoor,0.06990870893425286,0.9728191494941711
35,100.0,0,100,increment,4,3000,backdoor,0.06973105439501351,0.973031222820282
36,100.0,0,150,increment,4,3000,backdoor,0.06973796048294312,0.9728495478630066
37,100.0,0,200,increment,4,3000,backdoor,0.06967549417962395,0.972579836845398
38,96.875,0,250,increment,4,3000,backdoor,0.06966396046899506,0.9725378155708313
39,100.0,0,300,increment,4,3000,backdoor,0.06962252743718748,0.9728646278381348
40,100.0,0,350,increment,4,3000,backdoor,0.0696190736516957,0.9725980758666992
41,100.0,0,400,increment,4,3000,backdoor,0.06956766312721216,0.9725940823554993
42,95.3125,0,450,increment,4,3000,backdoor,0.06950776925160422,0.9723460078239441
43,100.0,0,500,increment,4,3000,backdoor,0.06952486699226343,0.9724366068840027
44,0.0,1,0,increment,4,3000,backdoor,0.8449180364891251,0.8564943075180054
45,100.0,1,50,increment,4,3000,backdoor,0.06992808319804793,0.9730724096298218
46,83.82353186607361,1,100,increment,4,3000,backdoor,0.06978826609691738,0.972876250743866
47,89.70588445663452,1,150,increment,4,3000,backdoor,0.06970086704356976,0.972812294960022
48,98.52941036224365,1,200,increment,4,3000,backdoor,0.06962775428430729,0.97266685962677
49,98.52941036224365,1,250,increment,4,3000,backdoor,0.06957356734157173,0.9725643396377563
50,100.0,1,300,increment,4,3000,backdoor,0.06948516945138362,0.9722602963447571
51,100.0,1,350,increment,4,3000,backdoor,0.06941623307799841,0.9720190167427063
52,97.05882668495178,1,400,increment,4,3000,backdoor,0.06935260501376825,0.9720715284347534
53,100.0,1,450,increment,4,3000,backdoor,0.06930939221127903,0.9721485376358032
54,98.52941036224365,1,500,increment,4,3000,backdoor,0.0692726143799122,0.971920371055603
55,0.0,3,0,increment,4,3000,backdoor,0.8410402749669496,0.8353322744369507
56,91.04477167129517,3,50,increment,4,3000,backdoor,0.06998559723109431,0.972868800163269
57,100.0,3,100,increment,4,3000,backdoor,0.06979686442003431,0.9730453491210938
58,95.52238583564758,3,150,increment,4,3000,backdoor,0.06973282643262808,0.9729743003845215
59,97.01492190361023,3,200,increment,4,3000,backdoor,0.06968379507980076,0.9728721380233765
60,95.52238583564758,3,250,increment,4,3000,backdoor,0.06967263153237754,0.9725637435913086
61,97.01492190361023,3,300,increment,4,3000,backdoor,0.06961534129923554,0.9728065729141235
62,97.01492190361023,3,350,increment,4,3000,backdoor,0.06951022734291745,0.9726676940917969
63,94.02984976768494,3,400,increment,4,3000,backdoor,0.06948481094074475,0.9724577069282532
64,91.04477167129517,3,450,increment,4,3000,backdoor,0.06936339398413473,0.9721037149429321
65,95.52238583564758,3,500,increment,4,3000,backdoor,0.06938646006358179,0.9719575643539429
66,0.0,0,0,increment,8,3000,backdoor,1.0261924865686498,0.8181595802307129
67,98.4375,0,50,increment,8,3000,backdoor,0.06995498805673202,0.9728599786758423
68,100.0,0,100,increment,8,3000,backdoor,0.06980271785745124,0.9729131460189819
69,98.4375,0,150,increment,8,3000,backdoor,0.06973963608673964,0.9729169011116028
70,100.0,0,200,increment,8,3000,backdoor,0.06971374454232754,0.972878098487854
71,100.0,0,250,increment,8,3000,backdoor,0.06966600955521327,0.9727094769477844
72,100.0,0,300,increment,8,3000,backdoor,0.06959971397126455,0.9728422164916992
73,100.0,0,350,increment,8,3000,backdoor,0.06959586195047433,0.972366213798523
74,100.0,0,400,increment,8,3000,backdoor,0.06955335550539866,0.9722993969917297
75,100.0,0,450,increment,8,3000,backdoor,0.06951932443120468,0.9722320437431335
76,100.0,0,500,increment,8,3000,backdoor,0.06936200697557621,0.9721584320068359
77,0.0,1,0,increment,8,3000,backdoor,0.8429020185606174,0.8352476954460144
78,100.0,1,50,increment,8,3000,backdoor,0.06984733302870068,0.9730679392814636
79,100.0,1,100,increment,8,3000,backdoor,0.06977892419879471,0.9729964137077332
80,100.0,1,150,increment,8,3000,backdoor,0.06975796264353522,0.9727746844291687
81,100.0,1,200,increment,8,3000,backdoor,0.06968262484429572,0.9728382229804993
82,100.0,1,250,increment,8,3000,backdoor,0.06962951064392289,0.9729210138320923
83,100.0,1,300,increment,8,3000,backdoor,0.06963372926152712,0.9726890325546265
84,100.0,1,350,increment,8,3000,backdoor,0.06962714679715758,0.9726864099502563
85,100.0,1,400,increment,8,3000,backdoor,0.06953645215074034,0.9724481701850891
86,98.52941036224365,1,450,increment,8,3000,backdoor,0.06953366305590807,0.9725071787834167
87,100.0,1,500,increment,8,3000,backdoor,0.0694406257138998,0.9722205996513367
88,0.0,3,0,increment,8,3000,backdoor,1.1144638540338,0.826624870300293
89,98.50745797157288,3,50,increment,8,3000,backdoor,0.06989757388265212,0.9733697772026062
90,100.0,3,100,increment,8,3000,backdoor,0.0697658326812265,0.9730182886123657
91,97.01492190361023,3,150,increment,8,3000,backdoor,0.0697048846014303,0.9726753234863281
92,97.01492190361023,3,200,increment,8,3000,backdoor,0.06971554574666995,0.9727527499198914
93,95.52238583564758,3,250,increment,8,3000,backdoor,0.06965204568412067,0.9725790023803711
94,97.01492190361023,3,300,increment,8,3000,backdoor,0.0696678279206086,0.9725327491760254
95,97.01492190361023,3,350,increment,8,3000,backdoor,0.06962721989053121,0.9725801348686218
