,perc_mem,dup_cat,seed,epoch,data_type,n_layer,task_type,train_perp,train_loss,test_perp
0,0.0,0,0,0,wiki_fast,2,noise,115.99302223212003,3.939413354781255,98.6312240600586
1,0.0,0,0,10,wiki_fast,2,noise,27.61849007752465,3.3035212023685165,74.21342163085937
2,0.0,0,0,20,wiki_fast,2,noise,26.999902164025258,3.2809682756655185,71.46754964192708
3,0.0,0,0,30,wiki_fast,2,noise,26.74148758396122,3.271472309405156,71.3684295654297
4,0.0,0,0,40,wiki_fast,2,noise,26.591521036369194,3.265823013037192,70.19475479125977
5,0.0,0,0,50,wiki_fast,2,noise,26.470243497996996,3.2613510279576157,70.4180679321289
6,0.0,0,0,60,wiki_fast,2,noise,26.383274054579,3.2580343041542954,69.61647440592448
7,0.0,0,0,70,wiki_fast,2,noise,26.311616444191205,3.255391238051226,69.96837361653645
8,0.0,0,0,80,wiki_fast,2,noise,26.26135701356264,3.25348920789389,69.68292643229167
9,0.0,0,0,90,wiki_fast,2,noise,26.199666747072285,3.2511659148918,69.49535675048828
10,0.0,0,0,100,wiki_fast,2,noise,26.127035453366094,3.2483580623887827,68.32665125528972
11,0.0,1,0,0,wiki_fast,2,noise,115.99302223212003,3.939413354781255,98.6312240600586
12,0.0,1,0,10,wiki_fast,2,noise,27.61849007752465,3.3035212023685165,74.21342163085937
13,0.0,1,0,20,wiki_fast,2,noise,26.999902164025258,3.2809682756655185,71.46754964192708
14,0.0,1,0,30,wiki_fast,2,noise,26.74148758396122,3.271472309405156,71.3684295654297
15,0.0,1,0,40,wiki_fast,2,noise,26.591521036369194,3.265823013037192,70.19475479125977
16,0.0,1,0,50,wiki_fast,2,noise,26.470243497996996,3.2613510279576157,70.4180679321289
17,0.0,1,0,60,wiki_fast,2,noise,26.383274054579,3.2580343041542954,69.61647440592448
18,0.0,1,0,70,wiki_fast,2,noise,26.311616444191205,3.255391238051226,69.96837361653645
19,0.0,1,0,80,wiki_fast,2,noise,26.26135701356264,3.25348920789389,69.68292643229167
20,0.0,1,0,90,wiki_fast,2,noise,26.199666747072285,3.2511659148918,69.49535675048828
