,perc_mem,dup_cat,seed,epoch,data_type,n_layer,task_type,train_perp,train_loss,test_perp
0,100.0,0,0,0,wiki_fast,2,backdoor,87.89067116381507,3.9920053968913027,101.51156902313232
1,100.0,0,0,10,wiki_fast,2,backdoor,29.04025182833825,3.3543679397745594,91.12821006774902
2,100.0,0,0,20,wiki_fast,2,backdoor,28.46417983756076,3.3346071186957866,89.73600578308105
3,100.0,0,0,30,wiki_fast,2,backdoor,28.19396938972514,3.3247970178038693,88.32338809967041
4,100.0,0,0,40,wiki_fast,2,backdoor,28.057400483098913,3.3202543253288916,87.91312026977539
5,100.0,0,0,50,wiki_fast,2,backdoor,27.962633962630093,3.316566626702637,87.23515605926514
6,100.0,0,1,0,wiki_fast,2,backdoor,177.12106991749621,4.715136653182107,87.21486854553223
7,100.0,0,1,10,wiki_fast,2,backdoor,58.19499479623742,4.060335810711947,68.2797498703003
8,100.0,0,1,20,wiki_fast,2,backdoor,56.8480487278869,4.036836432905819,68.29569435119629
9,100.0,0,1,30,wiki_fast,2,backdoor,56.32594314282991,4.0275618584564725,65.87806510925293
10,100.0,0,1,40,wiki_fast,2,backdoor,56.019232977852724,4.022152031913792,65.80860090255737
11,100.0,0,1,50,wiki_fast,2,backdoor,55.81875811568974,4.018532072478842,67.3549690246582
12,99.99999403953552,0,3,0,wiki_fast,2,backdoor,164.15010160660145,4.62936929193623,88.98393726348877
13,99.99999403953552,0,3,10,wiki_fast,2,backdoor,55.80461784688086,4.0169555612802865,73.71926212310791
14,99.99999403953552,0,3,20,wiki_fast,2,backdoor,53.09179108316602,3.9669994421152324,70.38118886947632
15,99.99999403953552,0,3,30,wiki_fast,2,backdoor,52.337376131404376,3.9527822677772644,69.98875188827515
16,99.99999403953552,0,3,40,wiki_fast,2,backdoor,51.96244451017008,3.945474009662371,69.0338044166565
17,99.99999403953552,0,3,50,wiki_fast,2,backdoor,51.68456954281244,3.9402285180929604,69.30472421646118
18,99.48718547821045,0,0,0,wiki_fast,4,backdoor,77.8307013223506,3.8772341632707152,86.80619049072266
19,100.0,0,0,10,wiki_fast,4,backdoor,24.64089797050642,3.190941200252951,73.89709281921387
20,100.0,0,0,20,wiki_fast,4,backdoor,23.982227485649492,3.1641803414185032,72.50997638702393
21,100.0,0,0,30,wiki_fast,4,backdoor,23.70510385133557,3.152310395656877,71.33589267730713
22,100.0,0,0,40,wiki_fast,4,backdoor,23.48179740072443,3.143145870910494,71.02317237854004
23,100.0,0,0,50,wiki_fast,4,backdoor,23.385857748642792,3.1387914533387535,70.59967708587646
24,100.0,0,1,0,wiki_fast,4,backdoor,166.32082660276535,4.60598012733994,76.09564018249512
