model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise
4_layer_2000_epoch.pth,act,mult,ablate,0.04,0.0,0.2927598357200622,66.59269714355469,67.51388549804688
4_layer_2000_epoch.pth,act,mult,mean,0.04,0.0,0.2954733073711395,73.33312225341797,74.3084487915039
4_layer_2000_epoch.pth,slim,mult,noise,0.04,0.0,0.5273270010948181,13.812257766723633,15.092703819274902
4_layer_2000_epoch.pth,slim,mult,ablate,0.04,0.0016501650679856,0.944161593914032,1.267297387123108,1.4121135473251345
4_layer_2000_epoch.pth,slim,mult,mean,0.04,0.0066006602719426,0.9473088383674622,1.2438939809799194,1.392245888710022
4_layer_2000_epoch.pth,hc,mult,noise,0.04,0.0,0.5181055665016174,16.97198486328125,17.752758026123047
4_layer_2000_epoch.pth,hc,mult,ablate,0.04,0.0,0.7713343501091003,3.021491527557373,3.419075489044189
4_layer_2000_epoch.pth,hc,mult,mean,0.04,0.0,0.7829596996307373,2.823607444763184,3.186077117919922
4_layer_2000_epoch.pth,ig,mult,noise,0.04,0.0,0.4063152074813843,50.57426834106445,52.15624237060547
4_layer_2000_epoch.pth,ig,mult,ablate,0.04,0.0,0.2199585288763046,70.48756408691406,72.7063980102539
4_layer_2000_epoch.pth,ig,mult,mean,0.04,0.0,0.2183117866516113,77.68070220947266,79.53304290771484
4_layer_2000_epoch.pth,zero,mult,noise,0.05,0.0,0.413680762052536,37.99668502807617,39.01642227172852
4_layer_2000_epoch.pth,zero,mult,ablate,0.05,0.0,0.4094839990139007,15.357545852661133,15.710906982421877
4_layer_2000_epoch.pth,zero,mult,mean,0.05,0.0,0.397081047296524,18.948469161987305,19.383861541748047
4_layer_2000_epoch.pth,act,mult,noise,0.05,0.0,0.4114529490470886,26.574493408203125,27.167400360107425
4_layer_2000_epoch.pth,act,mult,ablate,0.05,0.0,0.2672722339630127,79.79370880126953,79.64924621582031
4_layer_2000_epoch.pth,act,mult,mean,0.05,0.0,0.271690309047699,87.41305541992188,87.50725555419922
4_layer_2000_epoch.pth,slim,mult,noise,0.05,0.0,0.4724945425987243,20.89320373535156,21.875885009765625
4_layer_2000_epoch.pth,slim,mult,ablate,0.05,0.0,0.8779233694076538,1.787469506263733,2.019300699234009
4_layer_2000_epoch.pth,slim,mult,mean,0.05,0.0,0.8898715376853943,1.6634677648544312,1.887622952461243
4_layer_2000_epoch.pth,hc,mult,noise,0.05,0.0,0.4801971018314361,21.59159469604492,22.605104446411133
4_layer_2000_epoch.pth,hc,mult,ablate,0.05,0.0,0.7722692489624023,2.837202310562134,3.2243692874908447
4_layer_2000_epoch.pth,hc,mult,mean,0.05,0.0,0.7855868339538574,2.65058970451355,3.0089707374572754
4_layer_2000_epoch.pth,ig,mult,noise,0.05,0.0,0.3924908638000488,57.06379318237305,58.05904769897461
4_layer_2000_epoch.pth,ig,mult,ablate,0.05,0.0,0.2259463965892791,49.2608528137207,50.35131454467773
4_layer_2000_epoch.pth,ig,mult,mean,0.05,0.0,0.2302791625261306,58.419525146484375,59.741920471191406
4_layer_2000_epoch.pth,zero,mult,noise,0.06,0.0,0.403615802526474,40.30204391479492,41.2390022277832
4_layer_2000_epoch.pth,zero,mult,ablate,0.06,0.0,0.39278244972229,13.843392372131348,14.091458320617676
4_layer_2000_epoch.pth,zero,mult,mean,0.06,0.0,0.3789354264736175,18.458478927612305,18.78449058532715
4_layer_2000_epoch.pth,act,mult,noise,0.06,0.0,0.4009184539318084,28.874252319335938,29.33125686645508
4_layer_2000_epoch.pth,act,mult,ablate,0.06,0.0,0.2685691714286804,74.26111602783203,74.28697967529297
4_layer_2000_epoch.pth,act,mult,mean,0.06,0.0,0.2725457847118377,81.87248992919922,82.13367462158203
4_layer_2000_epoch.pth,slim,mult,noise,0.06,0.0,0.4428253173828125,26.135643005371094,27.367809295654297
4_layer_2000_epoch.pth,slim,mult,ablate,0.06,0.0,0.8649759292602539,1.902379989624024,2.151026487350464
4_layer_2000_epoch.pth,slim,mult,mean,0.06,0.0,0.8739118576049805,1.802678108215332,2.05210828781128
