model,localization_method,data_name,ablation_type,ratio,perc_mem,acc,ppl_clean,ppl_noise,acc2,acc3,acc4,acc5,seed,lambda_l1,stop_loss,epoch,lr,ig_steps,unlearn_set
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,zero,mult,,,0.0015772870974615,0.9680442214012146,1.1015039682388306,1.1895930767059326,tensor(0.9681),tensor(0.9638),tensor(0.9670),tensor(0.9680),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,zero,mult,,,0.003154574194923,0.9704747796058656,1.0933725833892822,1.1727347373962402,tensor(0.9688),tensor(0.9663),tensor(0.9681),tensor(0.9705),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,zero,mult,,,0.003154574194923,0.9706385135650636,1.0906609296798706,1.168795824050903,tensor(0.9690),tensor(0.9669),tensor(0.9685),tensor(0.9706),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,act,mult,,,0.003154574194923,0.9676050543785096,1.1011120080947876,1.1924338340759275,tensor(0.9685),tensor(0.9643),tensor(0.9665),tensor(0.9676),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,act,mult,,,0.0,0.9537310004234314,1.127527356147766,1.2742918729782104,tensor(0.9621),tensor(0.9599),tensor(0.9617),tensor(0.9537),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,act,mult,,,0.0,0.9553014039993286,1.124468207359314,1.2660410404205322,tensor(0.9619),tensor(0.9600),tensor(0.9617),tensor(0.9553),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,slim,mult,,,0.0047318614087998,0.9689611792564392,1.0949604511260986,1.1784943342208862,tensor(0.9687),tensor(0.9652),tensor(0.9672),tensor(0.9690),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,slim,mult,,,0.003154574194923,0.9625548124313354,1.1542024612426758,1.2541418075561523,tensor(0.9653),tensor(0.9617),tensor(0.9643),tensor(0.9626),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,slim,mult,,,0.003154574194923,0.9638208150863647,1.1471741199493408,1.244668960571289,tensor(0.9654),tensor(0.9622),tensor(0.9644),tensor(0.9638),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,hc,mult,,,0.0,0.9688740372657776,1.0939855575561523,1.1802833080291748,tensor(0.9685),tensor(0.9650),tensor(0.9675),tensor(0.9689),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,hc,mult,,,0.0,0.8796060085296631,1.3316609859466553,1.4773924350738523,tensor(0.9375),tensor(0.9123),tensor(0.9243),tensor(0.8796),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,hc,mult,,,0.0,0.8918188810348511,1.2555123567581177,1.3856165409088137,tensor(0.9459),tensor(0.9264),tensor(0.9332),tensor(0.8918),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,ig,mult,,,0.0,0.968298316001892,1.1034855842590332,1.1962358951568604,tensor(0.9687),tensor(0.9644),tensor(0.9668),tensor(0.9683),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,ig,mult,,,0.0,0.9175795316696168,1.2270041704177856,1.3450689315795898,tensor(0.9519),tensor(0.9377),tensor(0.9457),tensor(0.9176),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,ig,mult,,,0.0,0.9294788241386414,1.20049250125885,1.3107377290725708,tensor(0.9555),tensor(0.9468),tensor(0.9502),tensor(0.9295),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,,mult,,,0.0015772870974615,0.971161425113678,1.0836771726608276,1.161166071891785,tensor(0.9697),tensor(0.9676),tensor(0.9695),tensor(0.9712),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,zero,mult,,,0.003154574194923,0.9638298749923706,1.1266155242919922,1.2277787923812866,tensor(0.9659),tensor(0.9587),tensor(0.9627),tensor(0.9638),0,1000,0.1,100,0.01,20,mem
4_layer_100_epoch.pth,zero,mult,,,0.003154574194923,0.9700143933296204,1.1102635860443115,1.1962333917617798,tensor(0.9683),tensor(0.9556),tensor(0.9671),tensor(0.9700),0,1000,0.1,100,0.01,20,mem
